,name,company,year,Price,kms_driven,fuel_type
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
372,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
390,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
393,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
395,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
406,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
408,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
428,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
436,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
441,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
446,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
453,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
455,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
458,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
462,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
463,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
464,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
466,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
467,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
469,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
471,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
475,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
476,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
477,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
479,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
480,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
481,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
482,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
489,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
492,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
493,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
495,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
496,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
497,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
500,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
502,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
503,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
507,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
509,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
510,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
512,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
513,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
514,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
515,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
516,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
518,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
524,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
533,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
535,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
538,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
544,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
551,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
553,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
554,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
566,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
569,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
570,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
571,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
572,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
573,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
582,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
584,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
590,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
591,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
599,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
600,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
601,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
602,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
604,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
612,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
613,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
616,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
617,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
628,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
630,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
631,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
632,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
640,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
642,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
644,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
648,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
662,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
664,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
665,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
666,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
668,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
669,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
674,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
675,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
676,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
679,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
682,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
687,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
690,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
692,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
705,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
706,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
707,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
709,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
712,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
717,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
726,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
732,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
736,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
738,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
740,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
741,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
752,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
754,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
755,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
756,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
757,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
758,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
760,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
766,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
773,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
774,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
775,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
777,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
778,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
781,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
785,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
797,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
801,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
804,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
807,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
808,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
810,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
